nombre_ies;codigo_ies;codigo_sede;nombre_sede;codigo_comuna;nombre_comuna;codigo_region;nombre_region;n_sedes
UNIVERSIDAD ARTURO PRAT;81;2;SEDE CALAMA;02201;Calama;02;Antofagasta;6
UNIVERSIDAD ARTURO PRAT;81;3;SEDE VICTORIA;09211;Victoria;09;La Araucanía;6
UNIVERSIDAD ARTURO PRAT;81;5;SEDE ARICA;15101;Arica;15;Arica y Parinacota;6
UNIVERSIDAD ARTURO PRAT;81;6;SEDE ANTOFAGASTA;02101;Antofagasta;02;Antofagasta;6
UNIVERSIDAD ARTURO PRAT;81;7;SEDE SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;6
UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION;82;1;CASA CENTRAL (SANTIAGO);13120;Ñuñoa;13;Metropolitana de Santiago;1
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;83;1;CASA CENTRAL (VALPARAISO);05101;Valparaíso;05;Valparaíso;2
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;83;2;SEDE SAN FELIPE;05701;San Felipe;05;Valparaíso;2
UNIVERSIDAD DE LOS LAGOS;84;18;SEDE SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;5
UNIVERSIDAD DE LOS LAGOS;84;1;CASA CENTRAL (OSORNO);10301;Osorno;10;Los Lagos;5
UNIVERSIDAD DE LOS LAGOS;84;2;SEDE PUERTO MONTT;10101;Puerto Montt;10;Los Lagos;5
UNIVERSIDAD DE LOS LAGOS;84;33;SEDE ANCUD;10202;Ancud;10;Los Lagos;5
UNIVERSIDAD DE LOS LAGOS;84;6;SEDE CASTRO;10201;Castro;10;Los Lagos;5
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;1;CASA CENTRAL;13101;Santiago;13;Metropolitana de Santiago;3
UNIVERSIDAD TECNOLOGICA METROPOLITANA (* CARRERA EN CONVENIO U. PACIFICO);85;1;CASA CENTRAL;13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;3;SEDE PROVIDENCIA;13123;Providencia;13;Metropolitana de Santiago;3
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;4;SEDE MACUL;13120;Ñuñoa;13;Metropolitana de Santiago;3
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;1;CASA CENTRAL;13101;Santiago;13;Metropolitana de Santiago;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;2;SEDE VILLARRICA;09120;Villarrica;09;La Araucanía;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;3;CAMPUS ORIENTE;13120;Ñuñoa;13;Metropolitana de Santiago;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;4;SEDE LO CONTADOR;13123;Providencia;13;Metropolitana de Santiago;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;5;CAMPUS SAN JOAQUIN;13118;Macul;13;Metropolitana de Santiago;5
UNIVERSIDAD DE CONCEPCION;87;1;CASA CENTRAL;08101;Concepción;08;Biobío;3
UNIVERSIDAD DE CONCEPCION;87;2;SEDE CHILLAN;16101;Chillán;16;Ñuble;3
UNIVERSIDAD DE CONCEPCION;87;3;SEDE LOS ANGELES;08301;Los Angeles;08;Biobío;3
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;1;CAMPUS CASA CENTRAL VALPARAISO;05101;Valparaíso;05;Valparaíso;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;2;SEDE VIÑA DEL MAR - JOSE MIGUEL CARRERA;05109;Viña del Mar;05;Valparaíso;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;3;SEDE CONCEPCION - REY BALDUINO DE BELGICA;08112;Hualpén;08;Biobío;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;4;CAMPUS SANTIAGO VITACURA;13132;Vitacura;13;Metropolitana de Santiago;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;6;CAMPUS SANTIAGO SAN JOAQUIN;13129;San Joaquín;13;Metropolitana de Santiago;5
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;1;CASA CENTRAL;05101;Valparaíso;05;Valparaíso;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;2;SANTIAGO;13123;Providencia;13;Metropolitana de Santiago;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;3;VIÑA DEL MAR;05109;Viña del Mar;05;Valparaíso;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;4;QUILPUE;05801;Quilpué;05;Valparaíso;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;5;QUILLOTA;05501;Quillota;05;Valparaíso;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;6;PUNTA ARENAS;12101;Punta Arenas;12;Magallanes y de la Antártica Chilena;6
UNIVERSIDAD AUSTRAL DE CHILE;90;1;CASA CENTRAL;14101;Valdivia;14;Los Ríos;3
UNIVERSIDAD AUSTRAL DE CHILE;90;2;SEDE PUERTO MONTT;10101;Puerto Montt;10;Los Lagos;3
UNIVERSIDAD AUSTRAL DE CHILE;90;4;SEDE COYHAIQUE;11101;Coyhaique;11;Aysén del General Carlos Ibáñez del Campo;3
UNIVERSIDAD CATOLICA DEL NORTE;91;1;CASA CENTRAL;02101;Antofagasta;02;Antofagasta;2
UNIVERSIDAD CATOLICA DEL NORTE;91;2;SEDE COQUIMBO;04102;Coquimbo;04;Coquimbo;2
UNIVERSIDAD CATOLICA DEL MAULE;92;1;CASA CENTRAL;07101;Talca;07;Maule;2
UNIVERSIDAD CATOLICA DEL MAULE;92;2;SEDE CURICO;07301;Curicó;07;Maule;2
