nombre_ies;codigo_ies;codigo_sede;nombre_sede;region_sede;provincia_sede;comuna_sede;n_sedes
UNIVERSIDAD ARTURO PRAT;81;1;CASA CENTRAL (IQUIQUE);REGION DE TARAPACA;IQUIQUE;IQUIQUE;6
UNIVERSIDAD ARTURO PRAT;81;2;SEDE CALAMA;REGION DE ANTOFAGASTA;EL LOA;CALAMA;6
UNIVERSIDAD ARTURO PRAT;81;3;SEDE VICTORIA;REGION DE LA ARAUCANIA;MALLECO;VICTORIA;6
UNIVERSIDAD ARTURO PRAT;81;5;SEDE ARICA;REGION DE ARICA Y PARINACOTA;ARICA;ARICA;6
UNIVERSIDAD ARTURO PRAT;81;6;SEDE ANTOFAGASTA;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;6
UNIVERSIDAD ARTURO PRAT;81;7;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;6
UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION;82;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;ÑUÑOA;1
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;83;1;CASA CENTRAL (VALPARAISO);REGION DE VALPARAISO;VALPARAISO;VALPARAISO;2
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;83;2;SEDE SAN FELIPE;REGION DE VALPARAISO;SAN FELIPE DE ACONCAGUA;SAN FELIPE;2
UNIVERSIDAD DE LOS LAGOS;84;18;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;5
UNIVERSIDAD DE LOS LAGOS;84;1;CASA CENTRAL (OSORNO);REGION DE LOS LAGOS;OSORNO;OSORNO;5
UNIVERSIDAD DE LOS LAGOS;84;2;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;5
UNIVERSIDAD DE LOS LAGOS;84;33;SEDE ANCUD;REGION DE LOS LAGOS;CHILOE;ANCUD;5
UNIVERSIDAD DE LOS LAGOS;84;6;SEDE CASTRO;REGION DE LOS LAGOS;CHILOE;CASTRO;5
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;1;CASA CENTRAL;REGION METROPOLITANA;SANTIAGO;SANTIAGO;3
UNIVERSIDAD TECNOLOGICA METROPOLITANA (* CARRERA EN CONVENIO U. PACIFICO);85;1;CASA CENTRAL;REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;3;SEDE PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;3
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;4;SEDE MACUL;REGION METROPOLITANA;SANTIAGO;ÑUÑOA;3
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;1;CASA CENTRAL;REGION METROPOLITANA;SANTIAGO;SANTIAGO;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;2;SEDE VILLARRICA;REGION DE LA ARAUCANIA;CAUTIN;VILLARRICA;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;3;CAMPUS ORIENTE;REGION METROPOLITANA;SANTIAGO;ÑUÑOA;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;4;SEDE LO CONTADOR;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;5;CAMPUS SAN JOAQUIN;REGION METROPOLITANA;SANTIAGO;MACUL;5
UNIVERSIDAD DE CONCEPCION;87;1;CASA CENTRAL;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;3
UNIVERSIDAD DE CONCEPCION;87;2;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;3
UNIVERSIDAD DE CONCEPCION;87;3;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;3
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;1;CAMPUS CASA CENTRAL VALPARAISO;REGION DE VALPARAISO;VALPARAISO;VALPARAISO;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;2;SEDE VIÑA DEL MAR - JOSE MIGUEL CARRERA;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;5
